sku,barcode,name,category,unit_of_measure,cost_price,sell_price,reorder_point,safety_stock,is_perishable,preferred_supplier_id,location_code,bin_code,quantity_on_hand
HW-WSC-S-001,891100200001,Wood Screws 25 mm - 50 pack,Fasteners,box,57.84,72.60,11,5,false,,INDIRANAGAR,A-840-LKO,15
HW-WSC-M-002,891100200002,Wood Screws 50 mm - 50 pack,Fasteners,box,114.10,147.19,18,8,false,,INDIRANAGAR,A-840-LKO,22
HW-WSC-L-003,891100200003,Wood Screws 75 mm - 100 pack,Fasteners,box,276.32,366.12,25,11,false,,INDIRANAGAR,A-840-LKO,29
HW-MSB-S-004,891100200004,Machine Bolts M6 x 30 mm - 20 pack,Fasteners,box,92.74,126.12,32,14,false,,INDIRANAGAR,A-840-LKO,36
HW-MSB-M-005,891100200005,Machine Bolts M8 x 50 mm - 20 pack,Fasteners,box,182.50,254.59,39,17,false,,INDIRANAGAR,A-840-LKO,43
HW-MSB-L-006,891100200006,Machine Bolts M10 x 80 mm - 25 pack,Fasteners,box,373.75,534.46,46,2,false,,INDIRANAGAR,A-840-LKO,11
HW-HXN-S-007,891100200007,Hex Nuts M6 - 50 pack,Fasteners,box,60.81,89.09,5,5,false,,INDIRANAGAR,A-840-LKO,18
HW-HXN-M-008,891100200008,Hex Nuts M8 - 50 pack,Fasteners,box,119.95,146.34,12,8,false,,INDIRANAGAR,A-840-LKO,25
HW-HXN-L-009,891100200009,Hex Nuts M10 - 100 pack,Fasteners,box,290.49,364.56,19,11,false,,INDIRANAGAR,A-840-LKO,32
HW-WSH-S-010,891100200010,Flat Washers M6 - 50 pack,Fasteners,pack,38.71,49.93,26,14,false,,INDIRANAGAR,A-840-LKO,39
HW-WSH-M-011,891100200011,Flat Washers M8 - 100 pack,Fasteners,pack,76.18,100.93,0,17,false,,INDIRANAGAR,A-840-LKO,46
HW-WSH-L-012,891100200012,Flat Washers M10 - 200 pack,Fasteners,box,156.00,212.16,40,2,false,,INDIRANAGAR,A-840-LKO,14
HW-NAIL-S-013,891100200013,Common Nails 25 mm - 500 g,Fasteners,box,53.40,74.49,47,0,false,,INDIRANAGAR,A-840-LKO,21
HW-NAIL-M-014,891100200014,Common Nails 50 mm - 1 kg,Fasteners,box,105.32,150.61,6,8,false,,INDIRANAGAR,A-840-LKO,28
HW-NAIL-L-015,891100200015,Common Nails 75 mm - 5 kg,Fasteners,box,255.06,373.66,13,11,false,,INDIRANAGAR,A-840-LKO,35
HW-ANCH-S-016,891100200016,Wall Anchors 6 mm - 25 pack,Fasteners,pack,52.42,63.95,20,14,false,,INDIRANAGAR,A-840-LKO,42
HW-ANCH-M-017,891100200017,Wall Anchors 8 mm - 50 pack,Fasteners,box,103.15,129.46,27,17,false,,INDIRANAGAR,A-840-LKO,10
HW-ANCH-L-018,891100200018,Wall Anchors 10 mm - 100 pack,Fasteners,box,211.25,272.51,34,2,false,,INDIRANAGAR,A-840-LKO,17
HW-HAM-S-019,,Claw Hammer 250 g,Hand Tools,piece,181.69,240.74,41,5,false,,INDIRANAGAR,A-840-LKO,24
HW-HAM-M-020,891100200020,Claw Hammer 500 g,Hand Tools,piece,358.39,487.40,48,8,false,,INDIRANAGAR,A-840-LKO,31
HW-HAM-L-021,891100200021,Claw Hammer 750 g fiberglass handle,Hand Tools,piece,867.91,1210.74,7,11,false,,INDIRANAGAR,A-840-LKO,38
HW-SDR-S-022,891100200022,Screwdriver Set 2-piece,Hand Tools,set,145.15,207.57,0,14,false,,INDIRANAGAR,A-840-LKO,45
HW-SDR-M-023,891100200023,Screwdriver Set 6-piece,Hand Tools,set,285.66,418.49,21,17,false,,INDIRANAGAR,A-840-LKO,0
HW-SDR-L-024,891100200024,Screwdriver Set 12-piece precision set,Hand Tools,set,585.00,713.70,28,2,false,,INDIRANAGAR,A-840-LKO,20
HW-PLR-S-025,891100200025,Combination Pliers 150 mm,Hand Tools,piece,159.44,200.10,35,5,false,,INDIRANAGAR,A-840-LKO,27
HW-PLR-M-026,891100200026,Combination Pliers 200 mm,Hand Tools,piece,314.50,405.71,42,0,false,,INDIRANAGAR,A-840-LKO,34
HW-PLR-L-027,891100200027,Combination Pliers 250 mm insulated,Hand Tools,piece,761.64,1009.17,49,11,false,,INDIRANAGAR,A-840-LKO,41
HW-WRN-S-028,891100200028,Adjustable Wrench 150 mm,Hand Tools,piece,209.66,285.14,8,14,false,,INDIRANAGAR,A-840-LKO,9
HW-WRN-M-029,891100200029,Adjustable Wrench 250 mm,Hand Tools,piece,412.62,575.60,15,17,false,,INDIRANAGAR,A-840-LKO,16
HW-WRN-L-030,891100200030,Adjustable Wrench 350 mm,Hand Tools,piece,845.00,1208.35,22,2,false,,INDIRANAGAR,A-840-LKO,23
HW-CHSL-S-031,891100200031,Cold Chisel 150 mm,Hand Tools,piece,100.12,146.67,29,5,false,,INDIRANAGAR,A-840-LKO,30
HW-CHSL-M-032,891100200032,Cold Chisel 250 mm,Hand Tools,piece,197.48,240.92,36,8,false,,INDIRANAGAR,A-840-LKO,37
HW-CHSL-L-033,891100200033,Cold Chisel 3-piece set,Hand Tools,set,478.24,600.19,0,11,false,,INDIRANAGAR,A-840-LKO,44
HW-TAPE-S-034,891100200034,Measuring Tape 3 m,Hand Tools,piece,76.61,98.82,50,14,false,,INDIRANAGAR,A-840-LKO,12
HW-TAPE-M-035,891100200035,Measuring Tape 5 m,Hand Tools,piece,150.76,199.76,9,17,false,,INDIRANAGAR,A-840-LKO,19
HW-TAPE-L-036,891100200036,Measuring Tape 10 m,Hand Tools,piece,308.75,419.90,16,2,false,,INDIRANAGAR,A-840-LKO,26
HW-KNIFE-S-037,891100200037,Utility Knife 9 mm,Hand Tools,piece,50.43,70.35,23,5,false,,INDIRANAGAR,A-840-LKO,33
HW-KNIFE-M-038,,Utility Knife 18 mm,Hand Tools,piece,99.47,142.24,30,8,false,,INDIRANAGAR,A-840-LKO,40
HW-KNIFE-L-039,891100200039,Utility Knife heavy-duty with 10 blades,Hand Tools,set,240.89,352.90,37,0,false,,INDIRANAGAR,A-840-LKO,8
HW-HSAW-S-040,891100200040,Hand Saw 300 mm,Hand Tools,piece,181.44,221.36,44,14,false,,INDIRANAGAR,A-840-LKO,15
HW-HSAW-M-041,891100200041,Hand Saw 450 mm,Hand Tools,piece,357.07,448.13,51,17,false,,INDIRANAGAR,A-840-LKO,22
HW-HSAW-L-042,891100200042,Hand Saw 600 mm professional,Hand Tools,piece,731.25,943.31,10,2,false,,INDIRANAGAR,A-840-LKO,29
HW-DRILL-S-043,891100200043,Electric Drill 450 W 10 mm,Power Tools,piece,1223.64,1621.32,17,5,false,,INDIRANAGAR,A-840-LKO,36
HW-DRILL-M-044,891100200044,Electric Drill 650 W 13 mm impact,Power Tools,piece,2413.62,3282.52,0,8,false,,INDIRANAGAR,A-840-LKO,43
HW-DRILL-L-045,891100200045,Electric Drill 850 W 13 mm impact kit,Power Tools,kit,5845.13,8153.95,31,11,false,,INDIRANAGAR,A-840-LKO,11
HW-GRIND-S-046,891100200046,Angle Grinder 650 W 100 mm,Power Tools,piece,1491.84,2133.33,38,14,false,,INDIRANAGAR,A-840-LKO,0
